Key,English,German,Japanese,Korean
Settings.Title,Settings,Einstellungen,設定,설정
Settings.Difficulty,Difficulty,Schwierigkeit,困難,난이도
Settings.Difficulty.Easy,Easy,Einfach,簡単,쉬움
Settings.Difficulty.Normal,Medium,Mittel,中,보통
Settings.Difficulty.Hard,Hard,Hart,ハード,어려움
Settings.SfxVolume,Effects volume,Effektlautstärke,エフェクトボリューム,효과음 볼륨
Settings.MusicVolume,Music volume,Musiklautstärke,音楽のボリューム,음악 볼륨
Settings.Language,Language,Sprache,言語,언어
Settings.PlayTime,Play time: {0:N1} h.,Spielzeit: {0:N1} h.,再生時間：{0：N1} h。,플레이 시간: {0:N1} h.
Settings.EndLoading,Touch the Screen!,Berühre den Bildschirm!,画面をタッチ！,화면을 터치하세요!
Settings.Loading,Loading...,Wird geladen...,読み込んでいます...,로딩 중...
Settings.SmokeExplain,"If you take it out late, the food will burn out.
You better take it out quickly!","Wenn Sie es spät herausnehmen, brennt das Essen aus.
Nehmen Sie es besser schnell heraus!","遅く取り出すと食べ物が焼けてしまいます。
早く取り出した方がいいです！","늦게 꺼내면 음식이 타 버립니다.
빨리 꺼내시는 게 좋을겁니다!"
Settings.RefillExplain,"After serving a drink or food, it can be refilled.
If you refill, your score will be a little lower.","Nach dem Servieren eines Getränks oder Essens kann es nachgefüllt werden.
Wenn Sie nachfüllen, ist Ihre Punktzahl etwas niedriger.","飲み物や食べ物を提供した後、それは補充することができます。
補充すると、スコアは少し低くなります。","음료나 음식을 서빙한 후 다시 리필할 수 있습니다. 
리필을 하면 점수가 조금 깎입니다."
Settings.Tip,Tip,Trinkgeld,ヒント,팁
Settings.BreakExplain,"Any machine can break with a 10% chance. 
If it breaks, touch it quickly to fix it!","Jede Maschine kann mit einer Chance von 10% brechen. 
Wenn es kaputt geht, berühren Sie es schnell, um es zu reparieren!","どのマシンも10％の確率で故障する可能性があります。
壊れた場合は、すばやく触って直してください！","모든 기계는 10 %의 확률로 고장 날 수 있습니다. 
고장이 나면 빨리 터치하여 고치세요!"
Settings.SpecialExplain,"Special orders are yellow and have a shorter serving time than regular orders. 
Instead, you'll get a higher score than regular orders!","Sonderbestellungen sind gelb und haben eine kürzere Servierzeit als reguläre Bestellungen. 
Stattdessen erhalten Sie eine höhere Punktzahl als bei regulären Bestellungen!", "特別注文は黄色で、通常の注文よりもサービス時間が短くなります。 
代わりに、通常の注文よりも高いスコアを取得します！", "스페셜 주문은 노란색이며 일반 주문보다 서빙 시간이 짧습니다. 
대신 일반 주문보다 높은 점수를 받을 수 있습니다!"
Settings.Resume,Resume,weitermachen, 再開, 계속하기
Settings.Restart,Restart,neu starten,再起動, 다시 시작
Settings.StageSelect,Back to Stage Select, Zurück zur Bühnenauswahl,ステージ選択に戻る, 스테이지 선택으로 돌아가기
Settings.ThankPlay, Thank you for playing, "Danke, dass du das Spiel gespielt hast", プレイしていただきありがとうございます, 플레이 해주셔서 감사합니다
Settings.Overcafe, OVERCAFE 3D, OVERCAFE 3D,オーバーカフェ3D, 오버카페 3D
Settings.MainDirect,MAIN DIRECTED & PROGRAMMED BY,MAIN DIRECTED & PROGRAMMIERT VON,主な監督とプログラム, 메인 디렉팅 및 프로그래밍
Settings.Graphic,Graphic,Grafik,グラフィック,그래픽
Settings.Sound,Sounds,Geräusche,音, 사운드
Settings.ThanksTo,Thanks to, Thanks to,おかげで, Thanks to
Settings.InfiniteMode,Infinite Mode,Unendlicher Modus,無限モード, 무한 모드
Settings.Sherlock, Sherlock,Sherlock, シャーロック, 셜록
Settings.Trevor, Trevor,Trevor,トレバー,트레버
Settings.Annie,Annie,Annie,アニー,애니
Settings.score,Score,Ergebnis,スコア,점수
Settings.Best,Best,Beste,ベスト,베스트
Settings.StageComplete,STAGE COMPLETE,STAGE COMPLETE, ステージ完了, 스테이지 완료
Settings.InfiniteFirst,Infinite mode has been unlocked!,Der unendliche Modus wurde freigeschaltet!,無限モードのロックが解除されました！, 무한 모드가 잠금 해제되었습니다!
Settings.Open, Open, öffnen,開いた,오픈
Settings.Touch2start,Touch to start, "Berühren Sie, um zu starten", タッチして開始, 터치하여 시작하세요
Settings.NeedUpdate,Need an update,Benötigen Sie ein Update,更新が必要, 업데이트가 필요합니다
Settings.NeedInternet,Internet connection required,Internetverbindung erforderlich,インターネット接続が必要です, 인터넷연결이 필요합니다.
Settings.Update,Download, Herunterladen, ダウンロード, 다운로드
Settings.Confirm,Confirm, Bestätigen Sie, 確認, 확인
Settings.BackToLobby,Back to Lobby, Zurück zur Lobby, ロビーに戻る, 로비로 돌아가기